quiz,midterm exam,sleeping time,breakfast,transportation means,last exam
80,74.9,6.7,1,0,81.8
73.6,74.6,7.1,0,0,75.8
81.5,58.5,6.8,1,0,77.6
90.2,76,7.6,1,1,89.5
72.7,88.8,8.9,1,0,89.7
72.7,64.7,6.6,0,1,67.3
90.8,92.6,8.7,0,0,89.6
82.7,85.9,6.6,0,0,80.9
70.3,71.2,6.5,1,0,80.4
80.4,78.3,8.5,1,2,82.3
70.4,99.2,8.6,1,2,92.4
70.3,88.8,8.5,0,0,82.3
77.4,80.1,5.9,0,0,76.1
55.9,77.1,6.9,0,1,67.9
57.8,80.9,8.5,1,1,76.2
69.4,73.9,7.5,1,0,75.1
64.9,54.7,6.2,1,2,57.8
78.1,100,8,1,0,93.9
65.9,81.9,6.6,0,0,77.6
60.9,84.8,9.7,0,0,86.9
89.7,79.3,9.4,1,0,90
72.7,71.2,8.2,1,1,77
75.7,77.8,9.1,1,0,82.3
60.8,60.8,7.6,0,2,65.2
69.6,100,8.4,0,1,88.1
76.1,65.2,9.3,0,0,74.4
63.5,67.6,7.8,0,0,67.3
78.8,74.7,7.2,0,2,76.6
69,95.5,5.5,1,0,82.8
72.1,80.2,7.4,0,0,80
69,65.2,8.5,0,0,70
93.5,95.1,8.6,1,0,92.1
74.9,88.8,8.1,1,1,83
64.4,86.5,6.9,1,2,77.1
83.2,88.6,5.1,1,0,90.3
62.8,100,6.9,1,2,78.6
77.1,100,7.1,0,1,92.9
55.4,71.8,7.1,1,0,72.6
61.7,99.5,8.2,0,0,78.8
77,84.6,9.9,0,1,86
82.4,86,7.6,1,1,89.2
76.7,59.7,7.2,1,0,66.8
73.8,78,7.2,1,0,82
72,70.2,7.6,1,0,80.7
60.2,89.9,6.5,1,0,79.3
67.8,92.9,7.6,1,2,80.4
70.4,55.1,8,1,0,70.8
85.6,79.7,7.8,1,0,85.9
78.4,93.5,8,1,0,86.3
57.4,77.8,8,0,1,69
78.2,88.7,5.4,1,0,81.3
71.1,84.2,8.3,1,0,84
68.2,84.1,6.7,0,1,73.7
81.1,76.7,6.2,1,2,73.9
85.3,65.4,6.2,1,0,79.9
84.3,66.5,8,0,0,79.5
66.6,88.5,7.2,0,0,76.9
71.9,80.2,5.5,1,2,74.3
78.3,78.3,8.1,1,0,82.4
84.8,74.9,5.8,1,0,80.6
70.2,76.3,7.7,0,0,78.9
73.1,92.6,7.8,0,0,82
63.9,76,8.6,1,2,70.6
63,63.9,9.6,1,0,74.6
83.1,88.9,5.9,1,0,81.5
88.6,77.5,7.4,1,1,84.5
74.3,80.4,7.2,1,2,76.4
85,99.3,8,0,0,84.4
78.6,79.8,7.8,0,2,78.5
68.5,83.5,7.1,1,0,79.4
78.6,65.9,7,1,2,76.3
90.4,77.4,6.2,1,2,81.1
74.6,87.3,8.7,1,2,85.4
90.6,61.3,8.1,1,2,81.5
48.8,82.4,8.6,0,0,71.3
83.2,81.2,7.1,0,2,78
75.9,80.5,6.7,0,0,73.2
72,92.4,6.2,0,0,83.9
75.9,84,7.9,1,1,83.4
55.1,97.7,6.3,0,2,68.6
72.8,68.1,9.7,0,1,79
78.6,81.6,5.9,1,0,74.4
89.8,81,7.8,1,0,87.7
69.8,67.2,9.4,1,0,81.3
66.9,91.5,8.2,1,2,79.5
70,100,7.7,1,0,86.3
84.2,79.8,6.3,1,0,82
78.3,86.1,5.8,0,0,73.4
69.7,81,8.4,0,2,77.3
80.1,71.4,9.3,1,0,83.9
76,58.2,7,1,1,70.8
84.7,71.5,6.1,1,0,78.9
68,63.3,4.6,0,0,63.7
71.7,100,6.3,1,0,88.3
71.1,78.6,7.4,1,1,78.5
60.4,75.8,9.4,1,0,74.2
78,90.7,8.3,0,0,87.8
77.6,66.5,7.9,1,2,75.9
75.1,70.8,7,1,0,78
72.7,80.8,6.8,1,2,79.2
60.8,92.3,9.2,0,0,81.7
70.8,86,7.7,1,0,86.5
71.6,83,5,0,0,78
67,80.9,6.7,0,0,76.3
73.4,84.8,6.5,1,2,75
79,82.4,6.8,0,2,75.9
93.9,67.6,8.2,1,2,85.7
76.7,80.6,7.4,1,1,77.2
77.6,67.1,7.4,0,0,73.5
74.3,81,9.1,1,0,84.2
55.8,74.2,6.7,1,2,63.8
74.7,100,9.7,0,2,90
75.6,79.5,6.7,1,0,81.6
99.6,63.1,7.6,1,2,79.2
73.1,78.4,7.2,1,0,81.7
78,86.2,7.6,0,2,78.5
74.7,100,8,1,1,87.3
63.3,72.9,8,0,2,66.4
86.4,61,6.6,1,0,78.5
82.5,89.8,6.2,1,2,85.1
82.9,63.4,10,1,2,78.1
65.9,74.8,6.9,1,0,76.7
89,76.9,8.3,1,0,92.8
61,79.2,5.6,1,1,67.4
80.9,88.3,7.2,1,0,88.1
96.9,71.8,7.3,1,0,89.7
65.1,76.7,8.1,0,0,74.6
69.3,79.8,4.2,0,2,69.8
76,81.8,7.7,1,1,89.1
70,81.2,6.1,1,2,74.7
59.5,85.2,7.9,0,0,75
75.7,90.1,6.3,0,2,79.8
64.4,84.7,6.5,0,2,73.1
79.7,85.4,7.2,1,2,73.9
65.8,61,6.2,1,0,68.2
90.5,80.6,6.9,1,2,82.1
67.2,85.8,6.1,1,0,79.5
71.8,88.7,5.3,1,0,79.2
